,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,score_yellow,score_red
2024-11-11 19:00:00,0.0849428,0.18781383,0.3019449,0.25891516,-0.3332413,-0.42564535,-0.36724237,0.3099049,0.1575015,0.42434123,-0.4238816,0.123306446,0.2649022,0.27707785,-0.30803594,0.29181814,-0.3888186,0.26886588,0.27458337,0.39866602,0.08889352,0.29295322,0.3200847,-0.15565531,0.13537408,0.25962684,-0.16298786,0.08728643,-0.17954597,0.33658418,-0.2298645,-0.12043118,-0.31501418,-0.20563017,0.21520498,-0.36533695,0.29959527,0.20731238,-0.31861934,-0.34266505,0.41705614,-0.32006416,0.2604741,0.2580636,0.26508066,0.2882636,0.12646508,-0.27880168,0.14014487,-0.41603878,0.17929605,0.18780649,0.2546553,-0.29941416,-0.11079261,-0.27856702,-0.26632497,0.26279575,0.1356156,-0.35073665,-0.3808713,-0.31392312,0.33211535,0.16437832,0.4860849855584121,0.4860849855584121
2024-11-11 20:00:00,0.12108966,0.16286844,0.29917425,0.23344119,-0.3347424,-0.41647112,-0.35728264,0.31294873,0.15122285,0.412412,-0.43444464,0.13274525,0.26524526,0.2775159,-0.27982602,0.29207888,-0.3503809,0.26176575,0.2680142,0.38306847,0.103381865,0.29759854,0.30688426,-0.15183185,0.15311503,0.2438547,-0.17274171,0.09875477,-0.17687432,0.3139763,-0.2502494,-0.11542029,-0.32164252,-0.20802386,0.1803847,-0.35808405,0.29766798,0.20387718,-0.31821346,-0.3447971,0.41371402,-0.31961787,0.2516311,0.25843173,0.25790504,0.28767443,0.16359378,-0.26975477,0.113925,-0.4208173,0.16879183,0.1937062,0.26223022,-0.309647,-0.109350435,-0.29667845,-0.2606471,0.23759341,0.13027698,-0.3556303,-0.38424727,-0.31231076,0.33247003,0.1692596,0.47330416435661155,0.47330416435661155
2024-11-11 21:00:00,0.12536289,0.1775415,0.30104753,0.2305529,-0.32031938,-0.41989663,-0.3432299,0.2958456,0.14904624,0.41800848,-0.4365009,0.15059976,0.25899974,0.2821808,-0.27186975,0.29367328,-0.36784026,0.2683913,0.27197126,0.38210204,0.10026652,0.282042,0.31464806,-0.16571504,0.17174761,0.23450214,-0.17747766,0.103874706,-0.16503477,0.3129262,-0.25902689,-0.109784365,-0.31765738,-0.2043806,0.17565422,-0.35219362,0.2967623,0.20112666,-0.30541575,-0.3403452,0.41642028,-0.3190533,0.265366,0.24057272,0.24860089,0.27650926,0.17023855,-0.25982168,0.14758916,-0.4188418,0.1626266,0.19969822,0.26867282,-0.31249717,-0.11167423,-0.2861438,-0.24521206,0.2296917,0.13842691,-0.34078562,-0.37697357,-0.30225748,0.33043218,0.18259925,0.4843282856961837,0.4843282856961837
2024-11-11 22:00:00,0.15620804,0.110164076,0.30718473,0.244122,-0.3275319,-0.4210374,-0.3428146,0.30584982,0.14542805,0.41374508,-0.44974288,0.14729144,0.28232542,0.2951705,-0.25399616,0.3041082,-0.35155997,0.27296108,0.2699848,0.38160172,0.10864223,0.27142063,0.3053166,-0.16649291,0.18230134,0.22719379,-0.17452958,0.1476633,-0.21952786,0.2946674,-0.26326233,-0.1160265,-0.32968324,-0.19449982,0.12655947,-0.35280535,0.30336976,0.18624254,-0.29861763,-0.35932818,0.4271807,-0.32230052,0.26371622,0.2619908,0.22922702,0.27986863,0.19872487,-0.290786,0.092709124,-0.43296614,0.16002104,0.21536435,0.2772553,-0.3192789,-0.1271998,-0.3028356,-0.23894085,0.2238308,0.11942583,-0.3496358,-0.38614243,-0.31146824,0.3456577,0.18504299,0.5097591580455133,0.5097591580455133
2024-11-11 23:00:00,0.14586124,0.13033473,0.32498708,0.23320304,-0.34377986,-0.43376043,-0.3493947,0.299478,0.14934291,0.42598605,-0.4378653,0.13103668,0.28094798,0.28968078,-0.2574955,0.30054313,-0.34712368,0.2791895,0.26090607,0.39386246,0.13107334,0.26942393,0.32089907,-0.17303355,0.18321349,0.26630196,-0.1794766,0.124731824,-0.16585688,0.30851522,-0.23363613,-0.14842087,-0.33142874,-0.22553447,0.106354244,-0.366637,0.32763106,0.20876539,-0.31593195,-0.35031763,0.43219545,-0.3303622,0.24464197,0.26602745,0.25206688,0.296692,0.18953241,-0.2583799,0.13273826,-0.42908156,0.20919909,0.1829154,0.2988666,-0.32542273,-0.14102906,-0.30650628,-0.24731936,0.25512603,0.19486117,-0.35673168,-0.37545356,-0.32132667,0.3529563,0.14290425,0.4929293160630621,0.4929293160630621
2024-11-12 00:00:00,0.10742351,0.17859532,0.32629773,0.25594136,-0.35332695,-0.4327726,-0.3768774,0.33221516,0.1656394,0.44045812,-0.43908042,0.103011146,0.2827245,0.28874597,-0.3033674,0.30545482,-0.37167007,0.2755227,0.2690312,0.4115706,0.103212416,0.30352727,0.32957178,-0.13393499,0.14470494,0.2741301,-0.17326038,0.094944336,-0.18094224,0.34346354,-0.23721841,-0.118999854,-0.34682968,-0.21082641,0.19887991,-0.38054824,0.32537505,0.22061723,-0.3331096,-0.35996744,0.43655688,-0.33249152,0.26104486,0.28491396,0.28359705,0.3110136,0.14667565,-0.27476487,0.10347333,-0.4319411,0.18840367,0.17855936,0.28580537,-0.32540756,-0.12701274,-0.31042162,-0.28272158,0.26844814,0.13294527,-0.37686437,-0.3986694,-0.32981488,0.35484925,0.14410934,0.4737473254645606,0.4737473254645606
2024-11-12 01:00:00,0.11377852,0.16390194,0.30547556,0.24295211,-0.33331263,-0.42635453,-0.3588301,0.31088433,0.1482356,0.4222386,-0.43448097,0.12365496,0.26895177,0.27457288,-0.28733507,0.30055448,-0.35615334,0.26353586,0.2724483,0.38708952,0.09796797,0.2855686,0.3204244,-0.15344381,0.15002868,0.24687353,-0.16212894,0.111597486,-0.181421,0.3187692,-0.2506433,-0.116253704,-0.31875464,-0.20614243,0.1565623,-0.360619,0.30054793,0.19604018,-0.32011902,-0.34453034,0.4203362,-0.31678364,0.25418812,0.25456116,0.256359,0.2870425,0.16611397,-0.2838478,0.13153774,-0.42043695,0.17367573,0.1995339,0.2634242,-0.30500776,-0.111608215,-0.29158556,-0.25733873,0.24438047,0.12558073,-0.3520299,-0.38794208,-0.30773738,0.32998163,0.16707592,0.4786393887983192,0.4786393887983192
2024-11-12 02:00:00,0.13734865,0.15295891,0.32385823,0.2443796,-0.3497107,-0.44134864,-0.3681261,0.3216743,0.16251072,0.43769744,-0.44411442,0.1178031,0.28885388,0.2985804,-0.2744433,0.31263676,-0.36637768,0.28112563,0.26667032,0.39964437,0.12240034,0.2979828,0.3204316,-0.14799775,0.17371425,0.27338988,-0.17387728,0.11027128,-0.18514508,0.3323483,-0.24493884,-0.11184715,-0.34338033,-0.2066407,0.16694915,-0.3762832,0.33754095,0.21476841,-0.3231767,-0.3719678,0.44249886,-0.34039468,0.25395283,0.28391153,0.27273446,0.31019184,0.17290421,-0.25862232,0.10574208,-0.43953338,0.17131083,0.18919007,0.29860234,-0.34699023,-0.13618018,-0.31849757,-0.26501206,0.26098272,0.15008606,-0.37430534,-0.39533365,-0.33234268,0.36052886,0.15533887,0.46391044654171143,0.46391044654171143
2024-11-12 03:00:00,0.08855156,0.19028085,0.31912908,0.26069155,-0.3499349,-0.44043538,-0.37613076,0.33031985,0.17030048,0.43911847,-0.4430136,0.11156109,0.28209725,0.28253052,-0.30905214,0.31105936,-0.36324945,0.2763115,0.25822917,0.40934858,0.08852259,0.30391273,0.33874038,-0.13942243,0.15600522,0.26540515,-0.14955725,0.09546782,-0.17497373,0.3472347,-0.2288362,-0.11486701,-0.3339653,-0.21625488,0.18285581,-0.3798027,0.3218466,0.2083476,-0.33242399,-0.3607696,0.43664467,-0.34055308,0.25693133,0.2769208,0.2878961,0.30749103,0.13788827,-0.26917115,0.13040955,-0.43448392,0.18634985,0.19518319,0.27782342,-0.3268974,-0.11575228,-0.30291247,-0.27400893,0.2791285,0.1353419,-0.36889833,-0.40158466,-0.3278351,0.35044837,0.15717953,0.4668450519247168,0.4668450519247168
2024-11-12 04:00:00,0.18791409,0.17221664,0.22432148,0.17491785,-0.26430428,-0.36833423,-0.30653742,0.27525547,0.09990422,0.33828607,-0.36549875,0.14837852,0.25496718,0.2278046,-0.1862507,0.22069451,-0.29773661,0.23643613,0.28131112,0.2917841,0.13067603,0.2792667,0.20847048,-0.16326779,0.11527905,0.24876961,-0.17574862,0.06719978,-0.1623936,0.23593394,-0.23140806,-0.12619735,-0.28016034,-0.2251717,0.14015721,-0.31221852,0.2587349,0.20284282,-0.30818328,-0.30859008,0.32727072,-0.2612795,0.2573629,0.23535149,0.2651135,0.260002,0.19168954,-0.22215745,0.10765083,-0.38103512,0.06570803,0.23832148,0.20358838,-0.26714712,-0.105975464,-0.3005691,-0.2624341,0.17264612,0.17679706,-0.3188634,-0.34181747,-0.28136185,0.29087183,0.15522344,0.536842079803454,0.536842079803454
2024-11-12 05:00:00,0.14333859,0.21891023,0.14874159,0.095460184,-0.24753226,-0.35043892,-0.30672368,0.32742867,0.118296936,0.25597432,-0.24838291,-0.016434373,0.24619995,0.10329719,-0.11542075,0.14533868,-0.10776639,0.21112098,0.21506369,0.20449421,0.15828016,0.32715714,0.11826223,-0.020010917,-0.02812413,0.323315,-0.040383756,-0.018049054,-0.1024284,0.17193277,-0.09706369,-0.11367313,-0.28605744,-0.21480693,0.15062276,-0.3053889,0.27669394,0.243583,-0.3749365,-0.26469767,0.24425423,-0.21519972,0.15419164,0.28904298,0.34416786,0.32751775,0.06769606,-0.040766552,-0.032300275,-0.3435572,-0.062168352,0.21847767,0.1323413,-0.23372929,-0.11234209,-0.36346385,-0.3687006,0.21040441,0.20976363,-0.35230234,-0.31793627,-0.29603988,0.30513024,0.0036331092,0.5362788565715868,0.5362788565715868
2024-11-12 06:00:00,0.1036432,0.21478458,0.11113731,0.093750276,-0.21960144,-0.31566113,-0.29288948,0.3247229,0.14028096,0.20607345,-0.19414754,-0.07084023,0.23219697,0.05481619,-0.10290724,0.112825096,-0.054710034,0.18021213,0.20393112,0.15894882,0.13458203,0.33333763,0.08327472,0.028308222,-0.08111831,0.32011533,0.0071930354,-0.01651406,-0.11174501,0.1482503,-0.03845865,-0.083619796,-0.26055917,-0.18393628,0.18523027,-0.27461407,0.23837909,0.2349746,-0.3635788,-0.23966101,0.19502872,-0.18125156,0.11534035,0.28654972,0.3318243,0.31934607,-0.007564556,0.008168448,-0.08394309,-0.2959174,-0.10063056,0.18826823,0.082344934,-0.187722,-0.11505631,-0.35023174,-0.37701663,0.20973092,0.16056007,-0.33960328,-0.28973624,-0.28101435,0.28273785,-0.035493046,0.5086195444683644,0.5086195444683644
2024-11-12 07:00:00,0.1066339,0.185479,0.07098976,0.08153584,-0.14293478,-0.23958679,-0.21399471,0.22658359,0.12822005,0.12884289,-0.11820136,-0.035188496,0.19233589,0.02468997,-0.050180152,0.054185286,-0.053482324,0.14517649,0.19022866,0.10899586,0.10050829,0.26061973,0.05061014,-0.035973694,-0.07494592,0.27808556,-0.032231335,0.030837128,-0.08238584,0.079959534,0.00016147271,-0.09530795,-0.16765536,-0.19351302,0.103610136,-0.196671,0.17432955,0.1988634,-0.26729944,-0.16971782,0.09149729,-0.11537398,0.1282735,0.20477332,0.25780654,0.23364002,-0.015957972,0.013591155,-0.006258259,-0.20432453,-0.06232561,0.1522669,0.024054624,-0.10905719,-0.105130315,-0.26553285,-0.28514963,0.16670297,0.20656767,-0.2510378,-0.18111464,-0.21663445,0.19380486,-0.032582957,0.4575303486428989,0.4575303486428989
2024-11-12 08:00:00,0.059516553,0.19513384,0.08517123,0.10228754,-0.1811339,-0.2755087,-0.25637203,0.2585353,0.1665946,0.13843164,-0.119686246,-0.09980209,0.19762096,0.014135481,-0.09727726,0.055437885,-0.055100746,0.14550225,0.19417456,0.12750348,0.098917365,0.31293547,0.0775896,0.008257258,-0.12215512,0.3000589,0.0071773077,-0.0050788606,-0.0729826,0.12062214,0.0639166,-0.082905784,-0.18579261,-0.19125508,0.17397054,-0.23783535,0.20215714,0.22947413,-0.3093487,-0.17484823,0.119392306,-0.12751226,0.104640804,0.25833103,0.2831539,0.2847569,-0.0980348,0.041779824,-0.057956763,-0.21140517,-0.04504415,0.11572224,0.028066631,-0.11243884,-0.12144159,-0.2972709,-0.33433437,0.21887654,0.21243365,-0.2832612,-0.19606176,-0.24189962,0.22145393,-0.092438884,0.49060270173593956,0.49060270173593956
